Date,Description,Debit,Credit,Balance
23/08/2023,CHEQUE DEPOSIT ,,4786.89,999989634.15
23/08/2023,CHEQUE DEPOSIT ,,9622.83,999999256.98
23/08/2023,TRANSFER,4143.68,,999995113.30
23/08/2023,TRANSFER ,,3383.36,999998496.66
23/08/2023,NEFT ,,1428.39,999999925.05
24/08/2023,NEFTIN ,,8204.99,1000008130.04
24/08/2023,CHEQUE DEPOSIT ,,7976.08,1000016106.12
24/08/2023,TRANSFER,3596.41,,1000012509.71
24/08/2023,Salry,1762.22,,1000010747.50
24/08/2023,NEFT,2329.83,,1000008417.67
25/08/2023,Salry,4374.13,,1000004043.54
25/08/2023,facebook ADs,9995.83,,999994047.71
25/08/2023,Cash Deposit ,,2510.99,999996558.70
25/08/2023,facebook ADs,2353.40,,999994205.30
25/08/2023,Razorpay ,,4075.96,999998281.26
26/08/2023,Payment Gateway ,,9494.49,1000007775.75
26/08/2023,Google Ads,8491.71,,999999284.04
26/08/2023,NEFT,406.33,,999998877.71
26/08/2023,AWS bill,5024.67,,999993853.04
26/08/2023,NEFT,4314.93,,999989538.11
27/08/2023,TRANSFER,5482.33,,999984055.78
27/08/2023,CHEQUE DEPOSIT ,,3149.92,999987205.71
27/08/2023,CHEQUE DEPOSIT ,,9469.44,999996675.14
27/08/2023,Razorpay ,,6914.89,1000003590.04
27/08/2023,Vendor Payment,5.14,,1000003584.90
28/08/2023,AWS bill,1681.28,,1000001903.62
28/08/2023,Vendor Payment,5788.65,,999996114.97
28/08/2023,NEFT,8389.23,,999987725.73
28/08/2023,Cash Deposit ,,123.01,999987848.75
28/08/2023,Razorpay ,,9371.54,999997220.29
29/08/2023,Razorpay ,,2607.30,999999827.59
29/08/2023,Salary,4972.89,,999994854.69
29/08/2023,AWS bill,3161.89,,999991692.81
29/08/2023,facebook ADs,4069.44,,999987623.36
29/08/2023,NEFT ,,2870.38,999990493.74
30/08/2023,Salry,797.10,,999989696.64
30/08/2023,NEFT,3554.69,,999986141.95
30/08/2023,NEFT,7030.32,,999979111.63
30/08/2023,NEFT,7484.91,,999971626.72
30/08/2023,Google Ads,3804.24,,999967822.48
31/08/2023,NEFTIN ,,2403.07,999970225.56
31/08/2023,TRANSFER ,,2970.82,999973196.37
31/08/2023,Google Ads,242.42,,999972953.96
31/08/2023,AWS bill,6661.69,,999966292.26
31/08/2023,TRANSFER ,,5891.09,999972183.35
01/09/2023,NEFTIN ,,5935.51,999978118.86
01/09/2023,TRANSFER ,,4025.15,999982144.01
01/09/2023,NEFT,3026.38,,999979117.63
01/09/2023,TRANSFER,8343.84,,999970773.78
01/09/2023,Salary,3333.63,,999967440.15
02/09/2023,NEFT ,,7832.63,999975272.79
02/09/2023,NEFT ,,6062.91,999981335.70
02/09/2023,Cash Deposit ,,6696.17,999988031.87
02/09/2023,Vendor Payment,9645.96,,999978385.91
02/09/2023,Razorpay ,,1988.60,999980374.52
03/09/2023,Payment Gateway ,,6229.95,999986604.46
03/09/2023,Salary,3694.13,,999982910.34
03/09/2023,AWS bill,3879.47,,999979030.86
03/09/2023,Salry,4261.47,,999974769.39
03/09/2023,Cash Deposit ,,3836.02,999978605.41
04/09/2023,NEFT ,,8702.80,999987308.21
04/09/2023,TRANSFER,4907.21,,999982401.00
04/09/2023,TRANSFER,3062.92,,999979338.09
04/09/2023,TRANSFER ,,2642.56,999981980.65
04/09/2023,facebook ADs,4009.29,,999977971.36
05/09/2023,Google Ads,3291.24,,999974680.12
05/09/2023,TRANSFER ,,9528.45,999984208.57
05/09/2023,NEFTIN ,,3897.11,999988105.68
05/09/2023,Payment Gateway ,,6687.65,999994793.33
05/09/2023,NEFTIN ,,272.43,999995065.76
06/09/2023,Cash Deposit ,,2269.94,999997335.70
06/09/2023,NEFT ,,4745.88,1000002081.58
06/09/2023,NEFT,4772.38,,999997309.20
06/09/2023,Vendor Payment,2589.12,,999994720.07
06/09/2023,Vendor Payment,1431.97,,999993288.10
07/09/2023,Cash Deposit ,,9467.20,1000002755.30
07/09/2023,Cash Deposit ,,7714.12,1000010469.43
07/09/2023,NEFTIN ,,7576.45,1000018045.87
07/09/2023,Razorpay ,,9716.83,1000027762.70
07/09/2023,Google Ads,5062.02,,1000022700.68
08/09/2023,NEFTIN ,,451.36,1000023152.04
08/09/2023,NEFTIN ,,8059.37,1000031211.40
08/09/2023,NEFT ,,8572.74,1000039784.14
08/09/2023,facebook ADs,67.85,,1000039716.29
08/09/2023,TRANSFER ,,140.55,1000039856.84
09/09/2023,NEFT,2954.97,,1000036901.87
09/09/2023,NEFT,7301.75,,1000029600.13
09/09/2023,Vendor Payment,3304.07,,1000026296.06
09/09/2023,TRANSFER ,,2918.58,1000029214.64
09/09/2023,NEFTIN ,,164.21,1000029378.85
10/09/2023,NEFT ,,3595.40,1000032974.25
10/09/2023,Vendor Payment,4576.91,,1000028397.33
10/09/2023,Payment Gateway ,,4397.25,1000032794.59
10/09/2023,Razorpay ,,766.47,1000033561.06
10/09/2023,NEFTIN ,,1363.32,1000034924.37
11/09/2023,NEFTIN ,,5061.52,1000039985.90
11/09/2023,Payment Gateway ,,7046.48,1000047032.37
11/09/2023,NEFT ,,6231.92,1000053264.30
11/09/2023,CHEQUE DEPOSIT ,,767.63,1000054031.93
11/09/2023,Payment Gateway ,,4929.08,1000058961.01
12/09/2023,Payment Gateway ,,9538.84,1000068499.85
12/09/2023,Razorpay ,,8946.17,1000077446.02
12/09/2023,Razorpay ,,4168.23,1000081614.25
12/09/2023,NEFTIN ,,881.34,1000082495.58
12/09/2023,Salary,1180.33,,1000081315.25
13/09/2023,Cash Deposit ,,2308.14,1000083623.39
13/09/2023,CHEQUE DEPOSIT ,,3514.91,1000087138.30
13/09/2023,Google Ads,8795.23,,1000078343.07
13/09/2023,AWS bill,7279.53,,1000071063.54
13/09/2023,Payment Gateway ,,2151.98,1000073215.53
14/09/2023,NEFTIN ,,7898.42,1000081113.94
14/09/2023,facebook ADs,4493.46,,1000076620.48
14/09/2023,NEFT,5013.67,,1000071606.81
14/09/2023,NEFTIN ,,2404.87,1000074011.68
